"iteration","num_clauses","sat_output","time_taken"
1,2410189,"UNSAT",0.336535930633545
2,1778381,"UNSAT",0.271715641021729
3,1462477,"UNSAT",0.231863498687744
4,1304525,"UNSAT",0.219329833984375
5,1225677,"UNSAT",0.21153998374939
6,1186253,"UNSAT",0.20939826965332
7,1166541,"UNSAT",0.211799383163452
8,1156557,"UNSAT",0.213190793991089
9,1151693,"UNSAT",0.2078857421875
10,1149133,"UNSAT",0.210983991622925
11,1147853,"UNSAT",0.211559772491455
12,1147341,"UNSAT",0.216747283935547
13,1147085,"UNSAT",0.214754581451416
14,1146829,"SAT",105.670476436615
