"iteration","num_clauses","sat_output","time_taken"
1,2410189,"UNSAT",0.371939420700073
2,1778381,"UNSAT",0.294418334960938
3,1462477,"UNSAT",0.248051166534424
4,1304525,"UNSAT",0.231025695800781
5,1225677,"UNSAT",0.222803592681885
6,1186253,"UNSAT",0.221105337142944
7,1166541,"UNSAT",0.213521242141724
8,1156557,"UNSAT",0.215106248855591
9,1151693,"UNSAT",0.219321727752686
10,1149133,"UNSAT",0.209804773330688
11,1147853,"UNSAT",0.204665422439575
12,1147341,"UNSAT",0.202360868453979
13,1147085,"UNSAT",0.207655191421509
14,1146829,"SAT",261.107161045074
