"iteration","num_clauses","sat_output","time_taken"
1,2409933,"UNSAT",0.38806676864624
2,1778125,"UNSAT",0.284778594970703
3,1462221,"UNSAT",0.252251148223877
4,1304269,"UNSAT",0.233554840087891
5,1225421,"UNSAT",0.219811916351318
6,1185997,"UNSAT",0.211228609085083
7,1166285,"UNSAT",0.21842622756958
8,1156301,"UNSAT",0.212530136108398
9,1151437,"UNSAT",0.207327842712402
10,1148877,"UNSAT",0.207165002822876
11,1147597,"UNSAT",0.211587190628052
12,1147085,"UNSAT",0.205950975418091
13,1146829,"UNSAT",0.208909749984741
14,1146573,"SAT",1616.37764382362
