"iteration","num_clauses","sat_output","time_taken"
1,2409677,"UNSAT",0.364009141921997
2,1777869,"UNSAT",0.295346260070801
3,1461965,"UNSAT",0.248400211334229
4,1304013,"UNSAT",0.235465288162231
5,1225165,"UNSAT",0.220910310745239
6,1185741,"UNSAT",0.213761329650879
7,1166029,"UNSAT",0.21735143661499
8,1156045,"UNSAT",0.218095541000366
9,1151181,"UNSAT",0.207824230194092
10,1148621,"UNSAT",0.214831113815308
11,1147341,"UNSAT",0.211293458938599
12,1146829,"UNSAT",0.214192867279053
13,1146573,"UNSAT",0.204785823822021
14,1146317,"SAT",567.863253831863
