"id","cluster"
"S38189655",31
"S36925097",4
"S37855352",6
"G2509499",46
"S37205325",3
"S37651445",76
"S37062372",113
"S37481244",86
"S37219656",17
"S37921164",84
"S37130449",102
"S37764409",70
"S37341585",21
"S38223616",89
"S37915601",101
"S38223505",11
"S37393596",81
"S38138604",69
"S38223509",107
"S37701184",73
"S38152163",47
"S44471693",15
"S37377562",94
"G2520170",62
"S44471692",112
"S37335756",44
"S44471709",37
"G2520118",123
"S37457609",32
"S37799913",118
"S37433010",88
"G2520148",13
"G2509509",26
"G2520117",82
"S37341678",29
"S37891588",90
"S37057117",61
"S37219766",39
"S38223463",50
"G2520108",79
"S37362081",126
"S36965006",114
"S36965076",128
"S37745681",2
"S37362820",109
"S37219748",57
"G2489606",122
"S37394083",44
"S37130473",65
"S38131880",44
"G2520156",111
"S38090238",115
"S36890278",8
"S37426873",98
"S37614749",43
"S38223498",14
"S38223523",58
"S38223524",84
"S37027197",63
"S37361598",1
"S37784762",23
"S37295719",125
"S44471694",42
"S38223608",16
"S37748385",33
"S38016922",116
"S38016276",120
"G2509493",71
"G2520158",72
"S44471701",10
"S37346120",40
"S37341698",28
"S38223551",18
"S37628999",24
"S38223544",27
"S37301402",96
"S37082312",93
"S37130478",66
"S36965328",121
"S37438943",30
"S38223514",106
"G2536278",51
"S37214834",110
"G2520126",48
"S37874088",68
"S38104673",19
"S37186761",103
"S37186827",105
"S38015186",38
"S37130183",7
"S37341575",67
"S37702120",35
"S38053660",50
"S37781267",127
"S38019554",60
"G2520096",80
"S37741298",45
"S38223517",56
"S37958723",70
"S38045614",87
"S37296890",87
"S37323869",124
"G2537419",5
"S38104678",70
"S36951537",85
"S38223537",34
"S37191945",25
"S38090395",78
"G3293357",41
"S37138222",54
"G2439050",97
"S37651488",27
"S37185700",113
"S38223459",52
"S36925239",104
"S37292574",99
"S37790851",22
"S38223495",55
"S37855427",100
"S37855448",59
"S37205058",36
"G2520142",64
"S38223472",92
"S37256426",117
"S37341647",53
"S37341705",91
"G2537680",95
"S37256410",49
"S37889120",77
"S38223540",74
"S37915546",20
"S38046972",108
"S37794227",12
"S37204935",44
"G2520099",9
"S37361121",45
"S37666668",75
"S37027176",87
"S37695562",83
"S37341554",50
"S38020844",119
