"id","cluster"
"S38189655",32
"S36925097",44
"S37855352",119
"G2509499",126
"S37205325",59
"S37651445",110
"S37062372",26
"S37481244",90
"S37219656",84
"S37921164",20
"S37130449",5
"S37764409",8
"S37341585",35
"S38223616",7
"S37915601",102
"S38223505",29
"S37393596",83
"S38138604",82
"S38223509",9
"S37701184",124
"S38152163",30
"S44471693",125
"S37377562",100
"G2520170",56
"S44471692",13
"S37335756",104
"S44471709",85
"G2520118",70
"S37457609",31
"S37799913",103
"S37433010",44
"G2520148",54
"G2509509",127
"G2520117",50
"S37341678",44
"S37891588",69
"S37057117",87
"S37219766",89
"S38223463",77
"G2520108",107
"S37362081",34
"S36965006",52
"S36965076",101
"S37745681",117
"S37362820",38
"S37219748",99
"G2489606",128
"S37394083",42
"S37130473",18
"S38131880",16
"G2520156",74
"S38090238",48
"S36890278",113
"S37426873",64
"S37614749",53
"S38223498",40
"S38223523",11
"S38223524",105
"S37027197",71
"S37361598",19
"S37784762",24
"S37295719",122
"S44471694",82
"S38223608",14
"S37748385",39
"S38016922",10
"S38016276",27
"G2509493",121
"G2520158",36
"S44471701",61
"S37346120",76
"S37341698",88
"S38223551",88
"S37628999",6
"S38223544",6
"S37301402",37
"S37082312",43
"S37130478",97
"S36965328",115
"S37438943",96
"S38223514",44
"G2536278",46
"S37214834",33
"G2520126",51
"S37874088",95
"S38104673",44
"S37186761",82
"S37186827",60
"S38015186",80
"S37130183",65
"S37341575",79
"S37702120",114
"S38053660",44
"S37781267",28
"S38019554",120
"G2520096",63
"S37741298",123
"S38223517",98
"S37958723",81
"S38045614",118
"S37296890",73
"S37323869",75
"G2537419",12
"S38104678",111
"S36951537",44
"S38223537",58
"S37191945",72
"S38090395",92
"G3293357",82
"S37138222",62
"G2439050",116
"S37651488",112
"S37185700",50
"S38223459",1
"S36925239",47
"S37292574",21
"S37790851",86
"S38223495",44
"S37855427",106
"S37855448",25
"S37205058",108
"G2520142",49
"S38223472",94
"S37256426",15
"S37341647",45
"S37341705",67
"G2537680",4
"S37256410",2
"S37889120",17
"S38223540",55
"S37915546",78
"S38046972",23
"S37794227",22
"S37204935",93
"G2520099",66
"S37361121",68
"S37666668",41
"S37027176",91
"S37695562",109
"S37341554",57
"S38020844",3
