"id","cluster"
"S38189655",90
"S36925097",121
"S37855352",102
"G2509499",1
"S37205325",76
"S37651445",76
"S37062372",64
"S37481244",3
"S37219656",89
"S37921164",37
"S37130449",87
"S37764409",112
"S37341585",98
"S38223616",92
"S37915601",115
"S38223505",113
"S37393596",122
"S38138604",60
"S38223509",81
"S37701184",48
"S38152163",117
"S44471693",32
"S37377562",6
"G2520170",7
"S44471692",11
"S37335756",26
"S44471709",24
"G2520118",69
"S37457609",39
"S37799913",128
"S37433010",120
"G2520148",93
"G2509509",86
"G2520117",41
"S37341678",68
"S37891588",71
"S37057117",52
"S37219766",40
"S38223463",49
"G2520108",91
"S37362081",2
"S36965006",99
"S36965076",126
"S37745681",36
"S37362820",73
"S37219748",42
"G2489606",21
"S37394083",78
"S37130473",83
"S38131880",104
"G2520156",77
"S38090238",43
"S36890278",15
"S37426873",17
"S37614749",96
"S38223498",111
"S38223523",31
"S38223524",74
"S37027197",62
"S37361598",79
"S37784762",34
"S37295719",55
"S44471694",40
"S38223608",29
"S37748385",13
"S38016922",20
"S38016276",125
"G2509493",109
"G2520158",16
"S44471701",5
"S37346120",110
"S37341698",18
"S38223551",18
"S37628999",72
"S38223544",72
"S37301402",47
"S37082312",54
"S37130478",101
"S36965328",12
"S37438943",12
"S38223514",82
"G2536278",127
"S37214834",19
"G2520126",75
"S37874088",88
"S38104673",84
"S37186761",57
"S37186827",80
"S38015186",66
"S37130183",123
"S37341575",59
"S37702120",14
"S38053660",50
"S37781267",107
"S38019554",65
"G2520096",30
"S37741298",27
"S38223517",11
"S37958723",9
"S38045614",71
"S37296890",22
"S37323869",67
"G2537419",46
"S38104678",70
"S36951537",124
"S38223537",28
"S37191945",118
"S38090395",95
"G3293357",45
"S37138222",63
"G2439050",25
"S37651488",61
"S37185700",108
"S38223459",4
"S36925239",44
"S37292574",11
"S37790851",33
"S38223495",100
"S37855427",94
"S37855448",58
"S37205058",10
"G2520142",38
"S38223472",23
"S37256426",119
"S37341647",85
"S37341705",116
"G2537680",56
"S37256410",88
"S37889120",35
"S38223540",81
"S37915546",103
"S38046972",73
"S37794227",105
"S37204935",114
"G2520099",106
"S37361121",85
"S37666668",97
"S37027176",8
"S37695562",48
"S37341554",53
"S38020844",51
