"id","cluster"
"S38189655",2
"S36925097",65
"S37855352",9
"G2509499",62
"S37205325",57
"S37651445",59
"S37062372",38
"S37481244",82
"S37219656",81
"S37921164",120
"S37130449",54
"S37764409",22
"S37341585",114
"S38223616",123
"S37915601",68
"S38223505",45
"S37393596",119
"S38138604",79
"S38223509",3
"S37701184",42
"S38152163",61
"S44471693",66
"S37377562",27
"G2520170",78
"S44471692",106
"S37335756",74
"S44471709",33
"G2520118",99
"S37457609",121
"S37799913",25
"S37433010",1
"G2520148",69
"G2509509",14
"G2520117",70
"S37341678",85
"S37891588",16
"S37057117",100
"S37219766",18
"S38223463",88
"G2520108",104
"S37362081",22
"S36965006",117
"S36965076",53
"S37745681",125
"S37362820",72
"S37219748",109
"G2489606",68
"S37394083",56
"S37130473",2
"S38131880",92
"G2520156",118
"S38090238",108
"S36890278",63
"S37426873",19
"S37614749",35
"S38223498",102
"S38223523",103
"S38223524",11
"S37027197",4
"S37361598",48
"S37784762",128
"S37295719",10
"S44471694",41
"S38223608",20
"S37748385",59
"S38016922",17
"S38016276",12
"G2509493",97
"G2520158",23
"S44471701",29
"S37346120",82
"S37341698",124
"S38223551",71
"S37628999",13
"S38223544",127
"S37301402",47
"S37082312",110
"S37130478",40
"S36965328",126
"S37438943",95
"S38223514",52
"G2536278",43
"S37214834",89
"G2520126",26
"S37874088",116
"S38104673",55
"S37186761",80
"S37186827",50
"S38015186",34
"S37130183",38
"S37341575",84
"S37702120",46
"S38053660",37
"S37781267",15
"S38019554",93
"G2520096",90
"S37741298",96
"S38223517",24
"S37958723",83
"S38045614",107
"S37296890",115
"S37323869",64
"G2537419",110
"S38104678",111
"S36951537",44
"S38223537",30
"S37191945",103
"S38090395",112
"G3293357",73
"S37138222",51
"G2439050",84
"S37651488",87
"S37185700",7
"S38223459",60
"S36925239",122
"S37292574",31
"S37790851",49
"S38223495",32
"S37855427",5
"S37855448",21
"S37205058",114
"G2520142",58
"S38223472",89
"S37256426",2
"S37341647",94
"S37341705",39
"G2537680",67
"S37256410",86
"S37889120",75
"S38223540",76
"S37915546",20
"S38046972",101
"S37794227",98
"S37204935",36
"G2520099",105
"S37361121",113
"S37666668",91
"S37027176",6
"S37695562",77
"S37341554",28
"S38020844",8
