"con_type","n_con","k","rho","f","gamma","solver_calls","sat_calls","unsat_calls","sat_avg_nclauses","unsat_avg_nclauses","sat_avg_time","unsat_avg_time","verification","ari","ami","nid"
"none",0,128,0.25,"min_diameter",0.849741,14,1,13,1146317,1340542.2308,568.1421,0.2358,TRUE,-0.001515,-0.001623,0.028574
"none",0,128,0.5,"min_diameter",0.871448,14,1,13,1146317,1340542.2308,602.4359,0.234,TRUE,-0.001515,-0.001623,0.028574
"none",0,128,0.75,"min_diameter",0.931403,14,1,13,1146317,1340542.2308,567.8633,0.2359,TRUE,-0.001515,-0.001623,0.028574
"must-link",1,128,0.25,"min_diameter",0.849741,14,1,13,1146573,1340798.2308,1669.9041,0.2343,TRUE,0.035553,0.049648,0.036784
"must-link",1,128,0.5,"min_diameter",0.871448,14,1,13,1146573,1340798.2308,1616.3776,0.2355,TRUE,0.035553,0.049648,0.036784
"must-link",1,128,0.75,"min_diameter",0.931403,14,1,13,1146573,1340798.2308,1761.7166,0.2338,TRUE,0.035553,0.049648,0.036784
"must-link",2,128,0.25,"min_diameter",0.849741,14,1,13,1146829,1341054.2308,1015.5143,0.238,TRUE,0.103581,0.123536,0.028482
"must-link",2,128,0.5,"min_diameter",0.871448,14,1,13,1146829,1341054.2308,999.5567,0.233,TRUE,0.103581,0.123536,0.028482
"must-link",2,128,0.75,"min_diameter",0.931403,14,1,13,1146829,1341054.2308,1023.5292,0.2322,TRUE,0.103581,0.123536,0.028482
"must-link",3,128,0.25,"min_diameter",0.849741,14,1,13,1147085,1341310.2308,1585.3566,0.2311,TRUE,0.198788,0.21301,0.022451
"must-link",3,128,0.5,"min_diameter",0.871448,14,1,13,1147085,1341310.2308,1643.5569,0.2373,TRUE,0.198788,0.21301,0.022451
"must-link",3,128,0.75,"min_diameter",0.931403,14,1,13,1147085,1341310.2308,1689.4787,0.2333,TRUE,0.198788,0.21301,0.022451
"must-link",4,128,0.25,"min_diameter",0.849741,14,1,13,1147341,1341566.2308,546.1871,0.2322,TRUE,0.265555,0.284555,0.02041
"must-link",4,128,0.5,"min_diameter",0.871448,14,1,13,1147341,1341566.2308,553.776,0.237,TRUE,0.265555,0.284555,0.02041
"must-link",4,128,0.75,"min_diameter",0.931403,14,1,13,1147341,1341566.2308,564.5482,0.2335,TRUE,0.265555,0.284555,0.02041
"must-link",5,128,0.25,"min_diameter",0.849741,14,1,13,1147597,1341822.2308,1439.7614,0.2312,TRUE,0.332323,0.356099,0.018369
"must-link",5,128,0.5,"min_diameter",0.871448,14,1,13,1147597,1341822.2308,1435.617,0.229,TRUE,0.332323,0.356099,0.018369
